id,name,iconUrl,ncaaUrl
barry,Barry University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/barry.svg,https://www.ncaa.com/schools/barry
barton,Barton College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/barton.svg,https://www.ncaa.com/schools/barton
baruch,Baruch College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/baruch.svg,https://www.ncaa.com/schools/baruch
bates,Bates College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bates.svg,https://www.ncaa.com/schools/bates
bay-path,Bay Path University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bay-path.svg,https://www.ncaa.com/schools/bay-path
baylor,Baylor University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/baylor.svg,https://www.ncaa.com/schools/baylor
becker,Becker College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/becker.svg,https://www.ncaa.com/schools/becker
belhaven,Belhaven University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/belhaven.svg,https://www.ncaa.com/schools/belhaven
bellarmine,Bellarmine University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bellarmine.svg,https://www.ncaa.com/schools/bellarmine
belmont,Belmont University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/belmont.svg,https://www.ncaa.com/schools/belmont
belmont-abbey,Belmont Abbey College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/belmont-abbey.svg,https://www.ncaa.com/schools/belmont-abbey
beloit,Beloit College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/beloit.svg,https://www.ncaa.com/schools/beloit
bemidji-st,Bemidji State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bemidji-st.svg,https://www.ncaa.com/schools/bemidji-st
benedict,Benedict College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/benedict.svg,https://www.ncaa.com/schools/benedict
benedictine-il,Benedictine University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/benedictine-il.svg,https://www.ncaa.com/schools/benedictine-il
bentley,Bentley University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bentley.svg,https://www.ncaa.com/schools/bentley
berea,Berea College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/berea.svg,https://www.ncaa.com/schools/berea
berry,Berry College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/berry.svg,https://www.ncaa.com/schools/berry
bethany-lutheran,Bethany Lutheran College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bethany-lutheran.svg,https://www.ncaa.com/schools/bethany-lutheran
bethany-wv,Bethany College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bethany-wv.svg,https://www.ncaa.com/schools/bethany-wv
bethel-mn,Bethel University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bethel-mn.svg,https://www.ncaa.com/schools/bethel-mn
bethune-cookman,Bethune-Cookman University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bethune-cookman.svg,https://www.ncaa.com/schools/bethune-cookman
binghamton,Binghamton University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/binghamton.svg,https://www.ncaa.com/schools/binghamton
biola,Biola University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/biola.svg,https://www.ncaa.com/schools/biola
birmingham-so,Birmingham-Southern College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/birmingham-so.svg,https://www.ncaa.com/schools/birmingham-so
black-hills-st,Black Hills State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/black-hills-st.svg,https://www.ncaa.com/schools/black-hills-st
blackburn,Blackburn College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/blackburn.svg,https://www.ncaa.com/schools/blackburn
bloomfield,Bloomfield College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bloomfield.svg,https://www.ncaa.com/schools/bloomfield
bloomsburg,Bloomsburg University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bloomsburg.svg,https://www.ncaa.com/schools/bloomsburg
bluefield-st,Bluefield State College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bluefield-st.svg,https://www.ncaa.com/schools/bluefield-st
bluffton,Bluffton University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bluffton.svg,https://www.ncaa.com/schools/bluffton
boise-st,Boise State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/boise-st.svg,https://www.ncaa.com/schools/boise-st
boston-college,Boston College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/boston-college.svg,https://www.ncaa.com/schools/boston-college
boston-u,Boston University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/boston-u.svg,https://www.ncaa.com/schools/boston-u
bowdoin,Bowdoin College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bowdoin.svg,https://www.ncaa.com/schools/bowdoin
bowie-st,Bowie State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bowie-st.svg,https://www.ncaa.com/schools/bowie-st
bowling-green,Bowling Green State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bowling-green.svg,https://www.ncaa.com/schools/bowling-green
bradley,Bradley University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bradley.svg,https://www.ncaa.com/schools/bradley
brandeis,Brandeis University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/brandeis.svg,https://www.ncaa.com/schools/brandeis
brevard,Brevard College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/brevard.svg,https://www.ncaa.com/schools/brevard
bridgeport,University of Bridgeport,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bridgeport.svg,https://www.ncaa.com/schools/bridgeport
bridgewater-st,Bridgewater State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bridgewater-st.svg,https://www.ncaa.com/schools/bridgewater-st
bridgewater-va,Bridgewater College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bridgewater-va.svg,https://www.ncaa.com/schools/bridgewater-va
brockport,College at Brockport,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/brockport.svg,https://www.ncaa.com/schools/brockport
brooklyn,Brooklyn College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/brooklyn.svg,https://www.ncaa.com/schools/brooklyn
brown,Brown University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/brown.svg,https://www.ncaa.com/schools/brown
